model_name,scaffold_name,n,accuracy,mean_predicted,mean_residual,abs_mean_residual
Gemini 2.0 Flash,HAL Generalist Agent,453,0.15894039735099338,0.15917861476204942,-0.00023821741105601088,0.00023821741105601395
DeepSeek R1,HAL Generalist Agent,498,0.13253012048192772,0.13275497264337963,-0.00022485216145190132,0.00022485216145190032
DeepSeek R1,USACO Episodic + Semantic,307,0.0,0.00021047579363988323,-0.00021047579363988323,0.00021047579363988328
Claude Sonnet 4.5,Browser-Use,600,0.47833333333333333,0.4781326153277761,0.00020071800555723735,0.00020071800555726327
Claude 3.7 Sonnet,SWE-Agent,150,0.52,0.5198154213343812,0.00018457866561881088,0.00018457866561880348
o4-mini,TAU-bench FewShot,99,0.5454545454545454,0.5452796028283521,0.00017494262619337103,0.00017494262619337553
Gemini 2.0 Flash,SciCode Tool Calling Agent,65,0.015384615384615385,0.015547459108538815,-0.0001628437239234303,0.00016284372392343262
Claude Haiku 4.5,SAB Self-Debug,204,0.2107843137254902,0.21093654122060365,-0.0001522274951134833,0.0001522274951134833
Claude 3.7 Sonnet,Browser-Use,600,0.3883333333333333,0.388185932574635,0.00014740075869829414,0.00014740075869829874
GPT-4.1,ColBench Example Agent,1000,0.386,0.38586393619292886,0.0001360638070711634,0.00013606380707108202
GPT-5,SeeAct,900,0.3811111111111111,0.3810071215633405,0.00010398954777062158,0.00010398954777059544
GPT-4.1,Browser-Use,300,0.36333333333333334,0.363434411561059,-0.00010107822772567665,0.00010107822772558468
Claude Opus 4.5,HAL Generalist Agent,90,0.32222222222222224,0.32212888758473773,9.333463748450701e-05,9.33346374845286e-05
Claude Sonnet 4,Browser-Use,600,0.39666666666666667,0.39658450896123,8.215770543667992e-05,8.21577054367258e-05
Claude 3.7 Sonnet,ColBench Example Agent,3000,0.4063333333333333,0.40625514045165523,7.819288167810552e-05,7.819288167795928e-05
o4-mini,HAL Generalist Agent,1208,0.2508278145695364,0.2507694827681665,5.8331801369902275e-05,5.8331801369910224e-05
DeepSeek V3 / Chat,ColBench Example Agent,1000,0.245,0.24497397029228463,2.602970771537372e-05,2.602970771533819e-05
o4-mini,ColBench Example Agent,2000,0.3575,0.3575188267474264,-1.8826747426410327e-05,1.88267474264876e-05
o3-mini,HAL Generalist Agent,430,0.30930232558139537,0.30932091365261133,-1.858807121601229e-05,1.8588071216016034e-05
o4-mini,SAB Self-Debug,204,0.27450980392156865,0.27452214162202493,-1.2337700456301413e-05,1.2337700456301413e-05
Claude 3.7 Sonnet,SAB Self-Debug,306,0.26143790849673204,0.2614497333570529,-1.1824860320878593e-05,1.182486032088077e-05
o3,ColBench Example Agent,1000,0.371,0.37099491033582876,5.089664171235242e-06,5.089664171322284e-06
Claude Sonnet 4,SeeAct,600,0.36666666666666664,0.3666636048841166,3.0617825500974436e-06,3.06178255007931e-06
