benchmark,task_id,n,mechanisms,harnesses,models,pass_rate,mechanism_list,code_agent_tool_registry_n,code_agent_tool_registry_pass_rate,code_agent_tool_registry_successes,framework_mediated_browser_control_n,framework_mediated_browser_control_pass_rate,framework_mediated_browser_control_successes,text_action_protocol_n,text_action_protocol_pass_rate,text_action_protocol_successes,no_explicit_tools_n,no_explicit_tools_pass_rate,no_explicit_tools_successes,harness_side_augmentation_n,harness_side_augmentation_pass_rate,harness_side_augmentation_successes,native_tool_schema_n,native_tool_schema_pass_rate,native_tool_schema_successes,code_vs_augmentation_gap
scienceagentbench,75,25,2,2,12,0.04,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.05555555555555555,1.0,,,,0.05555555555555555
scienceagentbench,92,25,2,2,12,0.04,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.05555555555555555,1.0,,,,0.05555555555555555
scienceagentbench,16,25,2,2,12,0.32,code_agent_tool_registry; harness_side_augmentation,7,0.2857142857142857,2,,,,,,,,,,18.0,0.3333333333333333,6.0,,,,0.047619047619047616
scienceagentbench,66,25,2,2,12,0.32,code_agent_tool_registry; harness_side_augmentation,7,0.2857142857142857,2,,,,,,,,,,18.0,0.3333333333333333,6.0,,,,0.047619047619047616
scienceagentbench,100,25,2,2,12,0.4,code_agent_tool_registry; harness_side_augmentation,7,0.42857142857142855,3,,,,,,,,,,18.0,0.3888888888888889,7.0,,,,0.03968253968253965
scienceagentbench,86,25,2,2,12,0.12,code_agent_tool_registry; harness_side_augmentation,7,0.14285714285714285,1,,,,,,,,,,18.0,0.1111111111111111,2.0,,,,0.031746031746031744
scienceagentbench,93,25,2,2,12,0.12,code_agent_tool_registry; harness_side_augmentation,7,0.14285714285714285,1,,,,,,,,,,18.0,0.1111111111111111,2.0,,,,0.031746031746031744
scienceagentbench,48,25,2,2,12,0.16,code_agent_tool_registry; harness_side_augmentation,7,0.14285714285714285,1,,,,,,,,,,18.0,0.16666666666666666,3.0,,,,0.023809523809523808
scienceagentbench,54,25,2,2,12,0.16,code_agent_tool_registry; harness_side_augmentation,7,0.14285714285714285,1,,,,,,,,,,18.0,0.16666666666666666,3.0,,,,0.023809523809523808
scienceagentbench,1,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,10,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,12,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,15,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,2,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,21,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,22,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,26,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,29,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,30,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,31,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,32,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,34,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,36,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,37,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,43,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,44,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,5,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,59,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,60,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,61,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,62,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,64,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,65,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,67,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,68,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,72,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,74,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,78,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
scienceagentbench,8,25,2,2,12,0.0,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.0,0.0,,,,0.0
