feature_group,feature_name,baseline_bce,ablated_bce,delta_bce,baseline_auc,ablated_auc,delta_auc,baseline_accuracy,ablated_accuracy,delta_accuracy,baseline_brier,ablated_brier,delta_brier
agent_boolean,scaffold_vision_query,0.35822705592936455,0.3582673228699435,4.0266940578959076e-05,0.8951862030911364,0.8951630899645896,-2.3113126546792095e-05,0.8350570613409415,0.8352353780313837,0.0001783166904422151,0.1133844256401062,0.11338566988706589,1.2442469596862793e-06
agent_boolean,affordance_vision,0.35822705592936455,0.3582655207783959,3.846484903136105e-05,0.8951862030911364,0.8951686240934813,-1.7578997655087747e-05,0.8350570613409415,0.8352353780313837,0.0001783166904422151,0.1133844256401062,0.11338518559932709,7.599592208862305e-07
agent_boolean,affordance_retrieval_context,0.35822705592936455,0.3582421734641495,1.5117534784947484e-05,0.8951862030911364,0.8951702517784492,-1.5951312687167984e-05,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.11338473111391068,3.0547380447387695e-07
agent_categorical,model_size_tier,0.35822705592936455,0.35822705592936455,0.0,0.8951862030911364,0.8951862030911364,0.0,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.1133844256401062,0.0
agent_categorical,scaffold_context_strategy,0.35822705592936455,0.35822705592936455,0.0,0.8951862030911364,0.8951862030911364,0.0,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.1133844256401062,0.0
agent_continuous,model_release_ym,0.35822705592936455,0.35822705592936455,0.0,0.8951862030911364,0.8951862030911364,0.0,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.1133844256401062,0.0
agent_continuous,model_param_count_full_b,0.35822705592936455,0.35822705592936455,0.0,0.8951862030911364,0.8951862030911364,0.0,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.1133844256401062,0.0
agent_continuous,model_param_count_active_b,0.35822705592936455,0.35822705592936455,0.0,0.8951862030911364,0.8951862030911364,0.0,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.1133844256401062,0.0
agent_continuous,scaffold_max_steps,0.35822705592936455,0.35822705592936455,0.0,0.8951862030911364,0.8951862030911364,0.0,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.1133844256401062,0.0
agent_continuous,scaffold_tool_exposure_strength,0.35822705592936455,0.35822705592936455,0.0,0.8951862030911364,0.8951862030911364,0.0,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.1133844256401062,0.0
agent_boolean,model_reasoning,0.35822705592936455,0.35822705592936455,0.0,0.8951862030911364,0.8951862030911364,0.0,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.1133844256401062,0.0
agent_boolean,model_moe,0.35822705592936455,0.35822705592936455,0.0,0.8951862030911364,0.8951862030911364,0.0,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.1133844256401062,0.0
agent_boolean,scaffold_wiki_search,0.35822705592936455,0.35822705592936455,0.0,0.8951862030911364,0.8951862030911364,0.0,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.1133844256401062,0.0
agent_boolean,scaffold_text_inspect,0.35822705592936455,0.35822705592936455,0.0,0.8951862030911364,0.8951862030911364,0.0,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.1133844256401062,0.0
agent_boolean,scaffold_multi_agent,0.35822705592936455,0.35822705592936455,0.0,0.8951862030911364,0.8951862030911364,0.0,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.1133844256401062,0.0
agent_boolean,scaffold_has_instructions,0.35822705592936455,0.35822705592936455,0.0,0.8951862030911364,0.8951862030911364,0.0,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.1133844256401062,0.0
agent_boolean,scaffold_has_skills,0.35822705592936455,0.35822705592936455,0.0,0.8951862030911364,0.8951862030911364,0.0,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.1133844256401062,0.0
agent_boolean,scaffold_self_critique,0.35822705592936455,0.35822289664061807,-4.159288746474754e-06,0.8951862030911364,0.8951720422319142,-1.4160859222234201e-05,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.11338987946510315,5.453824996948242e-06
agent_boolean,affordance_self_debug_feedback,0.35822705592936455,0.3582228859892953,-4.169940069242983e-06,0.8951862030911364,0.8951720422319142,-1.4160859222234201e-05,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.11338986456394196,5.4389238357543945e-06
agent_boolean,scaffold_browser_vision,0.35822705592936455,0.3582068730056377,-2.0182923726852486e-05,0.8951862030911364,0.8951837615636844,-2.441527451990666e-06,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.11338388174772263,-5.438923835754395e-07
agent_boolean,affordance_browser_control,0.35822705592936455,0.3582041953494,-2.2860579964534278e-05,0.8951862030911364,0.8951819711102195,-4.231980916924449e-06,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.11338379234075546,-6.332993507385254e-07
agent_boolean,scaffold_full_browser,0.35822705592936455,0.3582000849716254,-2.697095773912528e-05,0.8951862030911364,0.8951785529717866,-7.650119349777995e-06,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.11338364332914352,-7.82310962677002e-07
